case_id,employee,firm,created,submitted,responded,resolved,status,attempts,channels,compensation,processing_time,dispute_duration,observed_pending_time
37:0,37,5,0,2.0,2.0,2.0,resolved,1,domestic,1.0,0.0,2.0,0.0
38:0,38,7,0,2.0,2.0,9.0,resolved,4,domestic,1.0,7.0,9.0,7.0
39:0,39,6,0,2.0,2.0,2.0,resolved,1,domestic,1.0,0.0,2.0,0.0
40:0,40,7,0,1.0,1.0,7.0,resolved,3,external_customer,1.0,6.0,7.0,6.0
41:0,41,6,0,2.0,2.0,4.0,resolved,2,domestic,1.0,2.0,4.0,2.0
42:0,42,7,0,,,,unsubmitted,0,,0.0,,,
43:0,43,6,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
46:0,46,7,0,4.0,4.0,4.0,resolved,1,domestic,1.0,0.0,4.0,0.0
49:0,49,2,0,1.0,1.0,1.0,resolved,1,external_customer,1.0,0.0,1.0,0.0
51:0,51,6,0,2.0,2.0,7.0,resolved,5,domestic,1.0,5.0,7.0,5.0
52:0,52,5,0,1.0,1.0,7.0,resolved,4,domestic,1.0,6.0,7.0,6.0
53:0,53,2,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
54:0,54,2,0,2.0,2.0,5.0,resolved,2,domestic,1.0,3.0,5.0,3.0
58:0,58,3,0,3.0,3.0,3.0,resolved,1,external_customer,1.0,0.0,3.0,0.0
59:0,59,3,0,3.0,3.0,3.0,resolved,1,domestic,1.0,0.0,3.0,0.0
62:0,62,2,0,4.0,4.0,4.0,resolved,1,domestic,1.0,0.0,4.0,0.0
63:0,63,1,0,1.0,1.0,1.0,resolved,1,domestic,1.0,0.0,1.0,0.0
64:0,64,3,0,4.0,4.0,4.0,resolved,1,domestic,1.0,0.0,4.0,0.0
65:0,65,0,0,1.0,1.0,2.0,resolved,2,domestic,1.0,1.0,2.0,1.0
67:0,67,1,0,0.0,0.0,1.0,resolved,2,external_customer,1.0,1.0,1.0,1.0
70:0,70,4,0,1.0,1.0,1.0,resolved,1,external_customer,1.0,0.0,1.0,0.0
72:0,72,6,0,,,,unsubmitted,0,,0.0,,,
73:0,73,4,0,1.0,1.0,4.0,resolved,3,domestic,1.0,3.0,4.0,3.0
77:0,77,7,0,4.0,4.0,4.0,resolved,1,domestic,1.0,0.0,4.0,0.0
79:0,79,2,0,3.0,3.0,6.0,resolved,2,domestic,1.0,3.0,6.0,3.0
81:0,81,4,0,2.0,2.0,3.0,resolved,1,external_customer,1.0,1.0,3.0,1.0
82:0,82,6,0,3.0,3.0,4.0,resolved,1,domestic,1.0,1.0,4.0,1.0
83:0,83,7,0,1.0,1.0,1.0,resolved,1,external_customer,1.0,0.0,1.0,0.0
84:0,84,1,0,4.0,4.0,14.0,resolved,10,domestic,1.0,10.0,14.0,10.0
85:0,85,1,0,3.0,3.0,6.0,resolved,3,domestic,1.0,3.0,6.0,3.0
86:0,86,6,0,2.0,2.0,3.0,resolved,1,domestic,1.0,1.0,3.0,1.0
87:0,87,5,0,5.0,5.0,5.0,resolved,1,external_customer,1.0,0.0,5.0,0.0
88:0,88,1,0,4.0,4.0,4.0,resolved,1,external_customer,1.0,0.0,4.0,0.0
90:0,90,5,0,0.0,0.0,0.0,resolved,1,domestic,1.0,0.0,0.0,0.0
91:0,91,0,0,4.0,4.0,4.0,resolved,1,external_customer,1.0,0.0,4.0,0.0
93:0,93,7,0,4.0,4.0,7.0,resolved,2,domestic,1.0,3.0,7.0,3.0
94:0,94,5,0,3.0,3.0,3.0,resolved,1,external_customer,1.0,0.0,3.0,0.0
95:0,95,7,0,,,,unsubmitted,0,,0.0,,,
97:0,97,0,0,,,,unsubmitted,0,,0.0,,,
100:0,100,2,0,4.0,4.0,4.0,resolved,1,domestic,1.0,0.0,4.0,0.0
103:0,103,4,0,1.0,1.0,4.0,resolved,2,domestic,1.0,3.0,4.0,3.0
104:0,104,2,0,2.0,2.0,7.0,resolved,3,domestic,1.0,5.0,7.0,5.0
105:0,105,1,0,3.0,3.0,10.0,resolved,6,domestic,1.0,7.0,10.0,7.0
108:0,108,4,0,,,,unsubmitted,0,,0.0,,,
109:0,109,3,0,2.0,2.0,2.0,resolved,1,domestic,1.0,0.0,2.0,0.0
112:0,112,5,0,4.0,4.0,5.0,resolved,2,domestic,1.0,1.0,5.0,1.0
113:0,113,1,0,3.0,3.0,6.0,resolved,2,domestic,1.0,3.0,6.0,3.0
116:0,116,5,0,2.0,2.0,4.0,resolved,2,domestic,1.0,2.0,4.0,2.0
117:0,117,4,0,1.0,1.0,4.0,resolved,2,domestic,1.0,3.0,4.0,3.0
119:0,119,3,0,2.0,2.0,5.0,resolved,2,external_customer,1.0,3.0,5.0,3.0
122:0,122,5,0,3.0,3.0,3.0,resolved,1,domestic,1.0,0.0,3.0,0.0
124:0,124,3,0,0.0,0.0,4.0,resolved,2,domestic,1.0,4.0,4.0,4.0
125:0,125,1,0,3.0,3.0,4.0,resolved,1,external_customer,1.0,1.0,4.0,1.0
126:0,126,4,0,,,,unsubmitted,0,,0.0,,,
128:0,128,4,0,,,,unsubmitted,0,,0.0,,,
130:0,130,1,0,2.0,2.0,2.0,resolved,1,domestic,1.0,0.0,2.0,0.0
131:0,131,3,0,4.0,4.0,4.0,resolved,1,domestic,1.0,0.0,4.0,0.0
134:0,134,2,0,,,,unsubmitted,0,,0.0,,,
135:0,135,7,0,3.0,3.0,7.0,resolved,2,domestic,1.0,4.0,7.0,4.0
138:0,138,3,0,1.0,1.0,5.0,resolved,2,external_customer,1.0,4.0,5.0,4.0
139:0,139,6,0,,,,unsubmitted,0,,0.0,,,
140:0,140,7,0,2.0,2.0,8.0,resolved,3,domestic,1.0,6.0,8.0,6.0
141:0,141,6,0,5.0,5.0,5.0,resolved,1,domestic,1.0,0.0,5.0,0.0
142:0,142,1,0,4.0,4.0,5.0,resolved,1,domestic,1.0,1.0,5.0,1.0
143:0,143,2,0,2.0,2.0,2.0,resolved,1,domestic,1.0,0.0,2.0,0.0
144:0,144,3,0,3.0,3.0,6.0,resolved,3,domestic,1.0,3.0,6.0,3.0
146:0,146,2,0,,,,unsubmitted,0,,0.0,,,
148:0,148,2,0,1.0,1.0,4.0,resolved,2,domestic,1.0,3.0,4.0,3.0
149:0,149,6,0,2.0,2.0,3.0,resolved,1,external_customer,1.0,1.0,3.0,1.0
150:0,150,6,0,,,,unsubmitted,0,,0.0,,,
157:0,157,0,0,1.0,1.0,1.0,resolved,1,domestic,1.0,0.0,1.0,0.0
158:0,158,5,0,3.0,3.0,3.0,resolved,1,domestic,1.0,0.0,3.0,0.0
159:0,159,2,0,3.0,3.0,6.0,resolved,2,domestic,1.0,3.0,6.0,3.0
