case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,processing_time,observed_wait,dispute_age_observed
37:0,37,5,0,0,0.0,,3.0,,3.0,,4.0,,successful,unused,4.0,d,1.0,d,resolved,0.9605148714067651,False,0.538940423438798,4.0,4.0,4.0
39:0,39,3,0,0,0.0,5.0,3.0,7.0,3.0,7.0,4.0,8.0,closed_unresolved,successful,8.0,e,1.0,d,resolved,0.29980267696089175,True,0.17485006268219494,8.0,8.0,8.0
42:0,42,2,0,0,3.0,0.0,7.0,2.0,7.0,,8.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.5181381035783981,True,0.8853926971592309,,44.0,44.0
45:0,45,0,0,0,0.0,5.0,3.0,,,,4.0,,successful,cancelled_by_resolution,5.0,d,1.0,d,resolved,0.9062133005588473,True,0.4068637130282758,5.0,5.0,5.0
46:0,46,2,0,0,3.0,0.0,7.0,2.0,7.0,,8.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.6022381767052344,True,0.8853926971592309,,44.0,44.0
49:0,49,2,0,0,0.0,5.0,3.0,7.0,,7.0,4.0,8.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.5966172958732835,True,0.8853926971592309,,44.0,44.0
50:0,50,5,0,0,0.0,6.0,4.0,8.0,,8.0,5.0,9.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.9418125466328746,True,0.538940423438798,,44.0,44.0
52:0,52,1,0,0,0.0,5.0,4.0,,4.0,,5.0,,successful,cancelled_by_resolution,5.0,d,1.0,d,resolved,0.9696043638289182,True,0.8835149181532819,5.0,5.0,5.0
54:0,54,3,0,0,3.0,0.0,7.0,2.0,7.0,,8.0,,successful,closed_unresolved,8.0,d,1.0,e,resolved,0.9312490218410299,True,0.17485006268219494,8.0,8.0,8.0
57:0,57,3,0,0,0.0,,4.0,,4.0,,5.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5835548832989768,False,0.17485006268219494,,44.0,44.0
58:0,58,0,0,0,0.0,6.0,4.0,8.0,,8.0,5.0,9.0,closed_unresolved,successful,9.0,e,1.0,d,resolved,0.6648866098493449,True,0.4068637130282758,9.0,9.0,9.0
59:0,59,2,0,0,0.0,6.0,4.0,8.0,4.0,8.0,5.0,9.0,closed_unresolved,successful,9.0,e,1.0,d,resolved,0.6943385467328902,True,0.8853926971592309,9.0,9.0,9.0
60:0,60,2,0,0,3.0,0.0,7.0,2.0,7.0,,8.0,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.6451244971410584,True,0.8853926971592309,,44.0,44.0
61:0,61,0,0,0,0.0,5.0,4.0,,4.0,,5.0,,successful,cancelled_by_resolution,6.0,d,1.0,d,resolved,0.9596398737119458,True,0.4068637130282758,6.0,6.0,6.0
62:0,62,1,0,0,0.0,0.0,4.0,2.0,,,5.0,,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.5080031486909644,True,0.8835149181532819,,44.0,44.0
68:0,68,5,0,0,0.0,5.0,4.0,,4.0,,5.0,,successful,cancelled_by_resolution,5.0,d,1.0,d,resolved,0.6434450740162051,True,0.538940423438798,5.0,5.0,5.0
69:0,69,0,0,0,0.0,5.0,4.0,,4.0,,5.0,,successful,cancelled_by_resolution,6.0,d,1.0,d,resolved,0.9149858922629852,True,0.4068637130282758,6.0,6.0,6.0
70:0,70,1,0,0,0.0,6.0,4.0,8.0,,8.0,5.0,9.0,closed_unresolved,successful,9.0,e,1.0,d,resolved,0.8472291736018014,True,0.8835149181532819,9.0,9.0,9.0
71:0,71,0,0,0,0.0,5.0,4.0,,4.0,,5.0,,successful,cancelled_by_resolution,6.0,d,1.0,d,resolved,0.5421108680144316,True,0.4068637130282758,6.0,6.0,6.0
73:0,73,5,0,0,0.0,5.0,4.0,7.0,4.0,,5.0,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.4398843340243584,True,0.538940423438798,,44.0,44.0
75:0,75,3,0,0,0.0,0.0,5.0,2.0,5.0,2.0,6.0,3.0,successful,closed_unresolved,6.0,d,1.0,d+e,resolved,0.38056012843572185,True,0.17485006268219494,6.0,6.0,6.0
76:0,76,2,0,0,0.0,,5.0,,,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.6959689137536169,True,0.8853926971592309,6.0,6.0,6.0
77:0,77,5,0,0,0.0,,5.0,,5.0,,6.0,,successful,unused,6.0,d,1.0,d,resolved,0.2708541504726042,True,0.538940423438798,6.0,6.0,6.0
78:0,78,4,0,0,0.0,,5.0,,5.0,,6.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.873517646547888,False,0.20694384778006247,,44.0,44.0
79:0,79,0,0,0,0.0,8.0,5.0,10.0,,10.0,6.0,11.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.45041942962650766,True,0.4068637130282758,,44.0,44.0
82:0,82,4,0,0,0.0,7.0,5.0,9.0,,,6.0,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.2545469766510456,True,0.20694384778006247,,44.0,44.0
83:0,83,5,0,0,0.0,7.0,5.0,9.0,,,6.0,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.5415892646915648,True,0.538940423438798,,44.0,44.0
85:0,85,2,0,0,0.0,5.0,5.0,,5.0,,6.0,,successful,cancelled_by_resolution,6.0,d,1.0,d,resolved,0.31254583059964214,True,0.8853926971592309,6.0,6.0,6.0
88:0,88,4,0,0,0.0,6.0,5.0,8.0,5.0,8.0,6.0,9.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.27828789082103156,True,0.20694384778006247,,44.0,44.0
89:0,89,4,0,0,0.0,,5.0,,5.0,,6.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.5989296546636256,False,0.20694384778006247,,44.0,44.0
90:0,90,5,0,0,0.0,7.0,5.0,9.0,,9.0,6.0,10.0,closed_unresolved,successful,10.0,e,1.0,d,resolved,0.6178074463153476,True,0.538940423438798,10.0,10.0,10.0
91:0,91,5,0,0,5.0,0.0,7.0,2.0,,2.0,8.0,3.0,successful,closed_unresolved,8.0,d,1.0,e,resolved,0.4788570711031347,True,0.538940423438798,8.0,8.0,8.0
92:0,92,4,0,0,0.0,5.0,5.0,7.0,5.0,7.0,6.0,8.0,successful,cancelled_by_resolution,7.0,d,1.0,d,resolved,0.5847470334629051,True,0.20694384778006247,7.0,7.0,7.0
99:0,99,3,0,0,0.0,,6.0,,6.0,,7.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.6970744005175319,False,0.17485006268219494,,44.0,44.0
100:0,100,1,0,0,0.0,,6.0,,,,7.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.3437810370402954,False,0.8835149181532819,,44.0,44.0
101:0,101,1,0,0,0.0,8.0,6.0,10.0,,,7.0,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6530162742182607,True,0.8835149181532819,,44.0,44.0
102:0,102,3,0,0,0.0,,6.0,,6.0,,7.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.22262950080139038,False,0.17485006268219494,,44.0,44.0
103:0,103,5,0,0,0.0,,6.0,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.7324613089902952,True,0.538940423438798,7.0,7.0,7.0
104:0,104,5,0,0,0.0,7.0,6.0,9.0,6.0,9.0,7.0,10.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.5808246765612821,True,0.538940423438798,,44.0,44.0
106:0,106,5,0,0,0.0,,6.0,,6.0,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.9872708237055297,False,0.538940423438798,7.0,7.0,7.0
107:0,107,0,0,0,0.0,,6.0,,,,7.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.9241244578930374,False,0.4068637130282758,,44.0,44.0
108:0,108,4,0,0,0.0,7.0,6.0,9.0,6.0,9.0,7.0,10.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.28682579742600656,True,0.20694384778006247,,44.0,44.0
111:0,111,0,0,0,0.0,0.0,6.0,3.0,6.0,3.0,7.0,4.0,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.5766195370648515,True,0.4068637130282758,,44.0,44.0
112:0,112,2,0,0,0.0,,6.0,,6.0,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.9471728508869972,False,0.8853926971592309,7.0,7.0,7.0
113:0,113,4,0,0,4.0,0.0,7.0,3.0,7.0,,8.0,,successful,closed_unresolved,8.0,d,1.0,e,resolved,0.7321578856744935,True,0.20694384778006247,8.0,8.0,8.0
117:0,117,2,0,0,0.0,,6.0,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.4520993418102399,True,0.8853926971592309,7.0,7.0,7.0
118:0,118,0,0,0,0.0,,7.0,,,,8.0,,successful,unused,8.0,d,1.0,d,resolved,0.3424592674749437,True,0.4068637130282758,8.0,8.0,8.0
