employee,firm,incident_eligible,reachable,merit,belief_d,belief_e,cost_d,cost_e,incident_cohort,scheduled_incident,preparation_rounds
54,4,True,True,0.8851786134215318,0.7511227556231685,0.6102581321196503,0.2647979167950553,0.19584158207975574,2,12,3
55,1,True,True,0.9284412129178004,0.4575149512346959,0.5774854911041873,0.27604848689772193,0.21149207820782978,0,0,1
56,2,False,True,0.8630095014186128,0.4261156304256359,0.47856053141067956,0.394535490381934,0.17901469876636958,2,-1,1
57,4,True,False,0.9716238885004167,0.27034023176218397,0.24647266114050143,0.3472400286318625,0.32934013747717866,3,18,2
58,3,True,True,0.6796322940173094,0.7287979765855004,0.3168892329481223,0.22916244037719172,0.25204918347217453,0,0,1
59,5,True,True,0.3200681415256143,0.6836481830001345,0.7644130575124075,0.18865587008690207,0.2654424298365809,6,36,0
60,0,False,True,0.7226305051128377,0.6267509408485492,0.37097660168277335,0.3646327036493485,0.25331652867609694,2,-1,0
61,3,True,True,0.6937211515675494,0.5707328724802849,0.6121900608638835,0.18580561164042628,0.4120812043284913,7,42,0
62,0,True,True,0.77846346196991,0.5308201825849352,0.2331854303146843,0.18304339072920509,0.2900535349062379,0,0,2
63,4,False,True,0.9386455538641496,0.6277883122317096,0.6484274971837581,0.3742926208661102,0.3731305426620438,0,-1,0
64,2,False,True,0.5790884445629346,0.7573159791569402,0.5006966189609612,0.19914288049039117,0.19114903848678486,6,-1,1
65,1,False,True,0.7644561328321231,0.33511920750928936,0.45441060598127037,0.43195371834311047,0.2703197151563488,4,-1,0
66,5,True,True,0.6496361069168813,0.5735681254785044,0.20892059648429345,0.35202499334846415,0.26907731313463046,6,36,1
67,1,True,True,0.849971468963334,0.7679363762476603,0.5764448547902907,0.2185329716196229,0.28206926117262876,6,36,3
68,0,True,True,0.41322075009759796,0.7709627601582547,0.5090116458102754,0.37828963099935786,0.33186452277655243,6,36,0
69,0,True,True,0.2928181888461059,0.3174003294421141,0.43043789121808484,0.24663404840115602,0.2942416708512183,5,30,3
70,1,False,True,0.6372296259350786,0.588963658882298,0.47778854071671967,0.25213001071826635,0.2191553272093688,5,-1,3
71,1,False,True,0.45863050053836085,0.412982946809919,0.41770293456305113,0.2263860478643796,0.35377521633765996,5,-1,1
72,1,False,True,0.630506900608029,0.3039570775680623,0.49117068755897153,0.3667622651784787,0.26502486099530925,1,-1,1
73,5,False,True,0.47105950874058894,0.23783978181837861,0.3597289275627028,0.193065082042814,0.38996746815990524,3,-1,1
74,4,True,True,0.8132796267732176,0.507466193077916,0.22882871158824963,0.28687086581582355,0.25873530292536745,3,18,1
75,2,False,True,0.9065246905059865,0.384227870324381,0.37936281299527097,0.2682563720612613,0.2591031147486429,3,-1,3
76,1,True,True,0.544783234623755,0.7278912674400764,0.7128725717363582,0.21683692367874113,0.43043667868936064,0,0,2
77,0,True,True,0.3232596540277535,0.4916652746904324,0.6219717754372014,0.3366534083233555,0.2973670533494849,7,42,0
78,4,True,False,0.35891540141045275,0.551306068596942,0.6789249938309441,0.4290343540047506,0.4241876368144228,7,42,3
79,4,True,True,0.6650539493166403,0.2900515382908092,0.3688088003362419,0.23897090931600617,0.2980342670728797,4,24,3
80,4,False,True,0.5082019842019251,0.2644746495961519,0.3027309250843616,0.192289988060182,0.2995858357187316,4,-1,1
81,2,False,True,0.9648737426631744,0.20547546482437223,0.4229832467219834,0.37020450382851294,0.22351835461240413,1,-1,1
82,5,True,True,0.49594945321450395,0.42329706706597825,0.22737092523099506,0.257432616356845,0.30799645207068005,1,6,2
83,0,True,True,0.8169579374413223,0.7675079590330014,0.3247875840090918,0.23823259958918622,0.3571275347972728,6,36,3
84,3,True,True,0.22932519955191122,0.6953923692276065,0.42302857952677253,0.23631765283767825,0.26391723968627046,5,30,2
85,5,False,True,0.5284809253479833,0.4454771782076072,0.3848967267849148,0.3861125007791309,0.2199702685036102,5,-1,0
86,1,True,True,0.9597185618280852,0.310255512993768,0.7036613968048913,0.33277071386377627,0.2013722692006036,2,12,2
87,0,True,True,0.26218004152940866,0.626302853337449,0.30842208455731873,0.20279804993293035,0.35065675570046845,3,18,3
88,0,True,True,0.7137402053372197,0.22699656335892954,0.4339584147888384,0.39659420517047966,0.3730679206252907,4,24,1
89,5,True,False,0.4952361511130273,0.48038674798981557,0.5082766162144217,0.28375073384880756,0.29798128606099056,3,18,3
90,0,False,True,0.8655708694126472,0.34975866661756383,0.6312072842505586,0.2511619168002147,0.30890343813837745,6,-1,1
91,3,False,True,0.65446255352343,0.6379971377606792,0.23053392263851216,0.3064358339330551,0.2559575512117671,6,-1,2
92,1,True,True,0.42494295992882947,0.5080096174963158,0.38515193015353116,0.3858598466874202,0.1918431630110436,7,42,1
93,3,True,True,0.9693007223167571,0.32374420301563095,0.4906157359118871,0.30315833026947697,0.4141443069013125,4,24,0
94,3,True,False,0.5376252371718311,0.2637070086392537,0.5767051272350571,0.21800924687211456,0.38576636836737893,3,18,0
95,0,True,True,0.5067201597835275,0.23538061248263192,0.2733800246189298,0.3797239704460827,0.26511376606491255,1,6,1
96,1,True,True,0.9102605940570492,0.544175683438299,0.6293298061894989,0.3523001079075671,0.44320868309654154,1,6,1
97,3,True,True,0.6159449819107115,0.31952925458877096,0.5993719833286713,0.30224413357827734,0.19373823302790918,4,24,3
98,1,False,True,0.5824440473751444,0.33792483484953784,0.5966646735405041,0.3604649108759331,0.30154242254983343,1,-1,1
99,5,False,False,0.8670478766368805,0.7556917566450874,0.6807412489295002,0.2493877645807473,0.38023104853490014,5,-1,1
100,0,True,False,0.27749433880172836,0.6744087688403828,0.29030114751069164,0.36878883914846133,0.3520160664731562,7,42,2
101,2,True,True,0.27236421648270515,0.7015815953158333,0.4732736835763851,0.18242635862309015,0.3435037370818977,4,24,0
102,4,True,False,0.9033355307014705,0.5257130117572961,0.6091195365216056,0.3401296872350168,0.333526900464516,5,30,1
103,2,True,True,0.8424656202399652,0.7013340584825343,0.46381004191287545,0.2629746714295532,0.2618007453015172,0,0,1
104,0,False,True,0.8750381877011937,0.7060901678330813,0.45457755315631687,0.40039860037949265,0.3953418954783837,0,-1,2
105,2,False,True,0.49938777146230157,0.7270771250401618,0.5693315675532212,0.2370791790541949,0.4280066233653105,1,-1,3
106,2,True,False,0.41928840138456647,0.44888903702598015,0.27050053689075265,0.43743369014725625,0.27225987399715035,6,36,2
107,2,True,False,0.8612830384861387,0.2729552866978575,0.3602509043392173,0.3467836357187902,0.3787669519245653,3,18,2
108,3,True,True,0.22099467565817488,0.35572902033027753,0.5585858136843243,0.4051152694937241,0.34700663599438875,0,0,1
109,3,True,True,0.8508497976451543,0.3637435466685008,0.5080717336323999,0.1734570005175878,0.44836137518704255,2,12,3
110,1,True,False,0.5941400530441188,0.6893463985774178,0.43363043451206085,0.35610832754885124,0.16509472292500954,3,18,0
111,4,False,True,0.3292212876181656,0.2852838871972354,0.20893945059388075,0.29047148572940656,0.42798087490408315,3,-1,3
112,3,True,False,0.3914871717849809,0.2626195558474761,0.28540965535272256,0.22254415227644214,0.20283773666009824,7,42,1
113,5,True,True,0.6091512180970545,0.5924914639605965,0.22624561894530365,0.20984774826084393,0.2769766022858965,0,0,3
114,2,True,True,0.3349625170012798,0.27519872472770845,0.2662753144224969,0.17453490026389828,0.2931344639470809,7,42,1
115,4,False,True,0.8126004400198201,0.30738263154853573,0.19393029068577833,0.15719451516665747,0.2946114317347036,3,-1,1
116,2,False,True,0.7396914258425151,0.6368749771957245,0.4797601485469254,0.4367557886067003,0.18482037363359752,0,-1,3
117,1,True,True,0.6172750821936452,0.7725694518870738,0.5462544645848304,0.22248103607028888,0.2401405260341156,2,12,3
118,1,True,True,0.9005845274844224,0.6375871773338737,0.2986818399503788,0.3693218264476184,0.32448104313922976,7,42,0
119,4,False,True,0.6649970769116464,0.5935761199423645,0.5489837168977632,0.22093113245950077,0.3540930090701831,4,-1,1
120,0,True,False,0.6690268801565683,0.759163703067264,0.3754962022302436,0.203130339038933,0.3923393420191187,7,42,3
121,0,False,True,0.9049136147839263,0.2392058175235655,0.22088077582551757,0.24181940595590892,0.2102634359037687,2,-1,2
122,0,True,True,0.309328361227734,0.4635787531968371,0.24744623982210512,0.30527671861823186,0.3440753588719599,0,0,0
123,5,False,True,0.570515693585022,0.6176658182432007,0.252117903037833,0.21657663737434724,0.38353058234677634,7,-1,3
124,3,True,True,0.9474850822505292,0.7143263660250061,0.7237800823536895,0.28748670474943666,0.4403262542165151,6,36,1
125,3,True,True,0.8935224508662596,0.33640190342749543,0.49820659672540646,0.3253573236434573,0.3975528526902157,0,0,3
126,1,True,True,0.5789140871485761,0.37921000468567934,0.7750319384665738,0.1817981979992302,0.4042363712280874,7,42,2
127,4,True,True,0.8188890772965436,0.5374705503300068,0.25290151827080815,0.33325650609545837,0.1548902362264321,5,30,1
128,2,True,True,0.7625083619950204,0.7685770991976546,0.2303076525957629,0.33817959240936535,0.3162655808194294,5,30,0
129,0,False,True,0.5771032010799858,0.2689944336644173,0.7015285862459917,0.3146146731751381,0.19181133987146337,4,-1,0
130,5,True,True,0.22489185454170935,0.7279763863511954,0.5965894064497096,0.4230493057485234,0.17740609687068634,6,36,2
131,5,True,True,0.9973810806458232,0.3563602311849474,0.5871447970231283,0.37985692616415667,0.3889506118451608,2,12,2
132,4,False,True,0.4267660559742442,0.6984115495063238,0.4315528026956182,0.20766643977965143,0.417247759191397,6,-1,1
133,1,False,True,0.6215675555207376,0.7148598127784529,0.2409596968437922,0.1698302913941532,0.17588606430577225,5,-1,0
134,2,False,True,0.7556113912963418,0.6273898662575028,0.4554405481288816,0.2558827129847855,0.3024232534535628,5,-1,2
135,0,True,False,0.2468637276420685,0.4366730319091619,0.7621463672265759,0.3247811586874708,0.3209657128824279,4,24,1
136,4,True,True,0.47127513041529295,0.7501679528580865,0.6211310014503404,0.4223974343666844,0.21721088517641865,2,12,1
137,3,True,True,0.48363075790668913,0.23142394825061224,0.3928009614207508,0.21067495909785985,0.38531273408114686,1,6,1
138,4,False,True,0.704568453447155,0.52740597263782,0.5607405538535354,0.3246246057250694,0.44951724210340427,4,-1,0
139,5,False,True,0.49623545118500156,0.7360914025958567,0.4317678936293342,0.19804881854882816,0.3122043294690846,1,-1,3
140,4,True,True,0.9500836652112532,0.3540029840183864,0.7080101940254262,0.3346212834544936,0.4172365301980692,1,6,3
141,3,True,True,0.6363027851073777,0.35177503890230116,0.2782869255421434,0.17493756988996692,0.3480719363279325,2,12,3
142,4,False,True,0.7448866442090798,0.2755709038073616,0.60811493364146,0.21749314324588676,0.15999469094845498,6,-1,2
143,3,True,True,0.7597066295311998,0.5226958892167235,0.24838345990718685,0.4442587311751047,0.18511963509914986,7,42,3
144,2,False,True,0.6522905496636167,0.5341907561107204,0.40617995413478014,0.4327612807802908,0.17227445521959187,5,-1,3
145,3,False,True,0.9083608020204517,0.25879716517497947,0.2568145181712118,0.2762456828860648,0.2171134137895322,0,-1,3
146,1,False,False,0.30841364996210463,0.2897311282740207,0.4501111079537057,0.3458043035416753,0.3009713484236364,6,-1,2
147,3,False,True,0.4334232455316313,0.2238329572600104,0.4151876136324677,0.3482112397193385,0.34999908601425805,4,-1,2
148,0,True,True,0.2134530269218864,0.23587254216683257,0.3540124992670963,0.1666153211988429,0.3540670450795082,0,0,3
149,2,True,True,0.8551686927611841,0.2713909454604943,0.6541471651235125,0.19879566477615832,0.2377602708974282,5,30,2
150,0,False,True,0.34618839396634754,0.6198644611598125,0.6948540636456458,0.4471222068156705,0.40889911647012567,3,-1,0
151,5,True,False,0.7754225842934206,0.4147954021032416,0.5558578888574649,0.1589590429061596,0.28845448924404354,7,42,3
152,2,False,True,0.421418365108329,0.5212659895601819,0.4630426583568274,0.44222856931697646,0.2798617975166548,4,-1,0
153,3,True,True,0.3618925309249741,0.49527004045165035,0.7227862591583962,0.25663317833606647,0.3716738497836488,1,6,2
154,3,True,True,0.9115791961118416,0.6861244606395716,0.5885642396252133,0.18289054626186424,0.24507216669016907,6,36,2
155,3,False,True,0.716735669011894,0.5535391155888879,0.7682462219870536,0.22347050568573748,0.2241075535493924,2,-1,2
156,5,False,True,0.8299054940931232,0.2668489981031641,0.3153375789766372,0.26144682860849433,0.26178672542359926,3,-1,1
157,5,True,False,0.2835431020295682,0.7239477466211979,0.5805383175446286,0.20114252881425518,0.2641967451130781,3,18,3
158,2,True,True,0.8108014288775767,0.3557926781527213,0.5611174797108571,0.3266494878981025,0.2520914027207791,7,42,2
159,3,True,True,0.39218587635200364,0.7820446497530293,0.7545088473815509,0.3379496723410936,0.4064367469037631,0,0,1
160,4,False,True,0.9346560825210977,0.3371426869656222,0.29104811739422287,0.18602370541122337,0.25560521116557494,6,-1,0
161,2,True,True,0.37138413573709034,0.6284841889560129,0.5691729643848509,0.15368000740445373,0.39526001653642473,3,18,3
162,5,True,True,0.21541013457894992,0.7180561825076561,0.6252525659631543,0.1526793811900296,0.22620422795171236,4,24,2
163,1,True,True,0.9704137692613084,0.49506454472903627,0.3998488872333458,0.20120873539899256,0.3725321394430762,2,12,1
164,5,True,True,0.9572656790733756,0.4114362483026438,0.2333050558785399,0.2900040903492713,0.4084117408635823,5,30,0
165,3,True,True,0.46889751029360993,0.761179219665111,0.5494797711054749,0.2842003790024406,0.17199588536488428,3,18,1
166,2,True,True,0.8984992614696814,0.6271908941318186,0.3876644563391516,0.3641580210834067,0.3930939441210525,6,36,3
167,1,False,True,0.34656709126051166,0.301432286392499,0.5643438816775269,0.38340201205763985,0.1740824416544681,6,-1,2
168,0,True,True,0.3116158387464493,0.292630080354969,0.714687257737433,0.2124602298368124,0.3434550845162469,0,0,0
169,1,True,True,0.4013048735450636,0.548129083741626,0.3165174786163057,0.32831279278468456,0.35255123439538055,7,42,1
170,1,True,False,0.9307630645483995,0.5086100046936499,0.4051155287561089,0.3137915355224336,0.3714260410134784,0,0,1
171,0,True,False,0.7628508262393561,0.45285740289679016,0.5671025829152772,0.305605824820542,0.420627155912052,1,6,1
172,1,True,False,0.2564379592709285,0.6772496681637501,0.8000124399204316,0.25807518197125545,0.16465395119231233,0,0,0
173,2,False,False,0.43767740038237224,0.2405254548081398,0.5340659541697466,0.44190466378191623,0.2208878896977623,1,-1,3
174,3,False,False,0.3144001472768614,0.638455235951671,0.5637342568924485,0.401752985381748,0.3688929926789492,5,-1,2
175,0,True,True,0.4812840955143757,0.3113255899969599,0.6315141838915803,0.3828994140573118,0.4457602991062814,3,18,1
176,1,True,True,0.9326632755416644,0.4992966896067701,0.7367207112421665,0.29667236080361553,0.19039524472284738,1,6,0
177,1,False,True,0.9705113153414338,0.49027560392333813,0.8080024065763214,0.15547688907322288,0.20320641646527007,3,-1,2
178,4,True,True,0.8308172709366088,0.24751995226350382,0.6128680806839006,0.30242028894009604,0.26244031453647154,0,0,0
179,0,True,True,0.38803250322340993,0.752264261305613,0.5093823631645937,0.30624217733824327,0.3130310006340152,2,12,1
180,1,True,True,0.5992177196443977,0.7584988133255084,0.7410511944966605,0.26348752174914253,0.3139739081884891,3,18,3
181,2,True,False,0.7430482022792215,0.7946355321921084,0.42162272232813014,0.39624013053372786,0.3667363039972709,2,12,1
182,1,True,True,0.30173714716498445,0.39064709963173316,0.7245626961659868,0.3398390417362852,0.30938004879238773,6,36,0
183,0,True,True,0.6051412981554674,0.6819001558109868,0.5269839731611944,0.24047309146331386,0.24744972533897125,7,42,0
184,2,True,True,0.6673718822457438,0.34884259019452324,0.2994402084407679,0.3329551098625529,0.29829461350477027,2,12,3
185,5,False,True,0.7853822236526662,0.535628304342801,0.24179755340492243,0.2432774733434693,0.17734776861255133,3,-1,3
186,3,False,True,0.3642393416910328,0.31233132758436927,0.23467293311666027,0.19887412412751238,0.4498406427495437,2,-1,2
187,3,True,True,0.6947425662725659,0.3211819069178439,0.5554585001628527,0.362124988748831,0.3298573274808079,1,6,1
188,4,False,True,0.3907922962555035,0.43365656074400316,0.6923999915646146,0.19351637029107754,0.17080436997786883,5,-1,0
189,3,True,True,0.45356990248120477,0.39392543997621987,0.6125275587680161,0.1636051094508242,0.4340924017748582,3,18,1
190,3,True,True,0.46740227315491234,0.38184337786216815,0.21070133607559938,0.2462220142384974,0.43170014863589884,7,42,1
191,5,True,True,0.9396717497346392,0.40810139716256255,0.35412383207244086,0.1651811248048993,0.4420432728833236,2,12,0
192,1,True,False,0.32570717100213553,0.7386437690821652,0.5000678583309333,0.3856497150898863,0.20667292195842124,7,42,2
193,3,True,True,0.548728616687532,0.6171017148293696,0.6452657660816854,0.19398710184657295,0.3302248422986202,6,36,3
194,0,False,False,0.7444186152782244,0.22933840015614698,0.7010509289510775,0.21801556503113376,0.36160463146600247,1,-1,3
195,2,True,True,0.38462862337734305,0.6828249301149987,0.471756307499771,0.42409615728653893,0.3991320901019059,4,24,0
196,5,False,True,0.5410322718243057,0.3201680985350168,0.4226566076247245,0.2605685650323697,0.2520884745053876,6,-1,3
197,1,True,True,0.48785807127128183,0.43794699765431283,0.56166766570625,0.19688231088167402,0.34557495756149265,4,24,3
198,4,False,True,0.691839509271146,0.7215628145670097,0.5404526050808927,0.26260536976809856,0.28656348544970217,0,-1,2
199,2,True,True,0.35240946575968657,0.4127684488429389,0.7572765500424592,0.33328785511729253,0.39501652679189125,1,6,0
200,2,False,True,0.9339283121170963,0.20012719028927572,0.6213247995611566,0.15305081211644547,0.207809908127062,7,-1,0
201,1,True,True,0.5888208129442721,0.2468416151391679,0.3791861288622632,0.20072772104470216,0.20987555220806772,0,0,1
202,3,True,True,0.7621952111211698,0.7207754921652623,0.21672926048736668,0.28961011207828935,0.25946474351074944,4,24,2
203,4,True,True,0.37653744317011917,0.6998933756450564,0.5135264455480919,0.411197420235476,0.35280032812438555,3,18,1
204,0,True,True,0.9027344384797658,0.5373873626323591,0.5551261879432942,0.1637093864547491,0.18132902755117566,6,36,3
205,4,True,True,0.28022178000567055,0.43285328084793884,0.6719609006522241,0.37383117714299735,0.2985107416432016,6,36,3
206,3,True,True,0.46906376896801927,0.569019483699402,0.6849054856712129,0.21149801716550876,0.3938870593751493,1,6,1
207,5,True,False,0.304284400933786,0.6384098086343788,0.4328621151935302,0.22389468572080504,0.4123575006396421,0,0,1
208,2,True,True,0.46105822339455416,0.31157911934780236,0.6719454342725899,0.3859596365912661,0.34099353141222527,3,18,1
209,0,True,True,0.3124753200187798,0.7405058612451096,0.7560969633888208,0.4313723783566484,0.41400289907302135,5,30,3
210,1,True,True,0.7972243286350806,0.2067993238979164,0.7220389447621924,0.2334915451941302,0.4483397378262869,5,30,2
211,4,False,True,0.32578228712178375,0.6772305820824516,0.3482205749765295,0.34001918419481325,0.18595745630951366,2,-1,1
212,4,False,True,0.7077739920229122,0.6381823179481881,0.3600421173839964,0.26095790257892815,0.25399429379640237,1,-1,2
213,3,False,True,0.48845485662117505,0.4657565155068889,0.7489428040491424,0.24359518427290078,0.2320509298884236,5,-1,1
214,2,True,True,0.6202544171834288,0.6973777556884364,0.6322656244963211,0.443590841096819,0.2925123474407271,1,6,3
215,1,True,True,0.5203028346488352,0.31577440849333327,0.37994453684031615,0.4330328298258135,0.2810765607108209,4,24,0
216,0,True,True,0.9251787388289079,0.3175768374614446,0.37755529813170224,0.3716142051303562,0.3663120173657725,5,30,0
217,1,False,True,0.9022060532031411,0.2654323075456201,0.5941999489548189,0.3826033019817829,0.2853493754023405,1,-1,2
218,2,True,True,0.4351729701343245,0.5478474919216988,0.6953990924246174,0.22402292046599662,0.387614879129818,0,0,2
219,3,True,True,0.4685931763882196,0.3752902680647157,0.2554602095816274,0.2189030648837487,0.1653723697381658,5,30,2
220,1,True,True,0.9905269408351938,0.5193324108195341,0.6006612426154204,0.39513052986510216,0.17546956606498276,3,18,3
221,1,True,True,0.3757664404564607,0.642462249631158,0.36221451903550406,0.309422400651154,0.2701802264111867,2,12,1
222,5,False,True,0.7593738070089404,0.2897175343155553,0.42983678916553875,0.15741180862555976,0.2818859720157071,7,-1,3
223,2,True,True,0.6797820032694308,0.3915561798829378,0.6520878371705706,0.3980764321907358,0.23046662342288557,6,36,3
224,5,True,True,0.9697861452879653,0.2294743163287446,0.5568460840597727,0.22111542484713326,0.2346933860024937,6,36,2
225,5,False,True,0.7995799782985,0.40175310803857067,0.21885142340785396,0.1504514858725639,0.41178409901664587,7,-1,0
226,5,True,False,0.2376853010927655,0.5965740789465439,0.2631240059745964,0.418531778998168,0.19678267089584336,4,24,1
227,2,True,False,0.9162306521268702,0.3036138572423417,0.47420316210613983,0.28280812642659486,0.19354397946438265,0,0,1
228,5,True,True,0.8779814963463997,0.3579346409636527,0.5793814834388675,0.26992991629460844,0.28904267863320765,0,0,2
229,4,True,True,0.4661620058538445,0.23345079342106856,0.3450312965568587,0.26017668021861107,0.3017892034318376,2,12,1
230,4,True,False,0.8005603473507588,0.30370863711525226,0.6201557140712746,0.3394288452220377,0.2584575639361246,4,24,2
231,2,True,True,0.90859355260051,0.7842242737997023,0.5604957527389772,0.25578729250303844,0.3627356548725506,6,36,3
232,0,False,False,0.3171126671940745,0.6669133120542408,0.34766006331318133,0.3848139299600167,0.4017850570660168,1,-1,1
233,4,True,True,0.9428233412253924,0.2883489652810065,0.5659356804353154,0.3661647897859952,0.15654664075523303,6,36,1
